,codegen-units,embed-bitcode,opt-level,force-frame-pointers,force-unwind-tables,linker-flavor,lto,no-vectorize-loops,no-vectorize-slp,overflow-checks,target-cpu,relocation-model,panic,compile-time-s,run-time-s,binary-size-mb,is_pareto,class
3,3,1,4,-1,0,-1,-1,0,-1,1,0,1,1,78.8384089099709,4.520242440979928,162,False,non-pareto
8,4,-1,5,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,75.87030533398502,4.33090706000803,168,True,pareto
9,-1,0,-1,1,1,0,-1,0,0,-1,0,1,0,41.537202326988336,26.249585345969535,158,False,non-pareto
15,0,1,1,0,1,0,-1,0,0,-1,0,1,0,77.70245769701432,14.142531317018438,120,False,non-pareto
19,-1,0,3,-1,0,0,-1,-1,-1,-1,-1,1,0,111.374265860999,4.471509038005024,217,False,non-pareto
22,4,0,2,1,1,0,-1,0,-1,-1,0,1,0,116.64340652001556,4.356401670025662,239,False,non-pareto
23,4,1,3,1,0,0,-1,0,-1,-1,0,1,-1,129.38273898296757,4.393370634992607,260,False,non-pareto
26,-1,-1,-1,1,1,0,-1,0,-1,-1,0,1,0,41.765566396992654,26.21241507999366,158,False,non-pareto
28,6,-1,-1,-1,1,0,-1,0,-1,-1,0,1,0,42.03620468999725,25.714207828976214,210,False,non-pareto
34,-1,1,-1,0,1,0,-1,-1,0,-1,0,1,0,39.05924694397254,28.610219838039484,158,False,non-pareto
36,1,0,-1,0,0,0,-1,0,-1,-1,0,1,0,41.114124507003,29.017260537017137,126,False,non-pareto
37,0,0,-1,0,0,0,-1,0,0,-1,0,1,0,44.732166277011856,28.183572482026648,120,False,non-pareto
38,-1,1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,38.45694313198328,25.81921428698115,157,False,non-pareto
40,0,-1,-1,0,1,0,-1,-1,-1,-1,-1,1,0,43.24643424496753,28.137403058994096,120,False,non-pareto
41,0,-1,-1,-1,0,0,-1,-1,0,-1,0,1,0,43.37584614899242,25.79974211798981,120,True,pareto
42,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0,1,0,38.731947869993746,25.768120392982382,158,False,non-pareto
43,4,-1,-1,1,0,-1,-1,-1,0,-1,0,1,0,41.190214331960306,25.25140761199873,205,False,non-pareto
44,1,0,-1,0,0,0,-1,-1,-1,-1,0,1,0,40.818599620019086,28.627003252971917,126,False,non-pareto
45,1,0,-1,0,0,-1,-1,-1,-1,-1,-1,1,0,41.359235410986,28.46742057200754,126,False,non-pareto
48,0,1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,47.35617498902138,28.378923343028873,124,False,non-pareto
50,1,1,-1,1,1,-1,1,-1,-1,-1,0,1,0,39.963809654000215,25.8765010269708,126,True,pareto
56,0,0,-1,0,0,0,-1,-1,-1,1,0,1,1,49.09646840498317,29.314555474033114,123,False,non-pareto
57,1,1,-1,-1,-1,0,-1,0,-1,0,-1,1,1,41.90967998094857,26.42628113401588,130,False,non-pareto
59,-1,1,-1,0,-1,-1,-1,0,0,-1,0,1,0,38.65361247700639,28.376756822981406,158,False,non-pareto
61,6,0,-1,0,-1,-1,-1,0,-1,-1,0,1,-1,45.695298383012414,27.947495893982705,222,False,non-pareto
62,-1,0,-1,1,-1,-1,-1,0,0,0,0,1,0,39.66839763196185,26.08422896801494,158,False,non-pareto
63,3,-1,-1,1,0,-1,-1,0,0,0,0,1,1,40.016276546986774,26.15444617799949,165,False,non-pareto
68,4,0,-1,0,0,-1,-1,0,0,-1,0,1,0,43.19704288901994,28.27961219800636,205,False,non-pareto
70,4,0,-1,0,0,-1,-1,-1,0,-1,-1,1,0,43.000717796967365,27.407764725969173,205,False,non-pareto
72,3,1,-1,-1,0,-1,-1,0,-1,-1,0,1,0,38.57451686798595,25.775688887981232,161,False,non-pareto
74,2,0,1,-1,0,0,-1,0,0,-1,0,1,0,79.06854250200558,12.89035184495151,154,False,non-pareto
75,-1,0,-1,0,1,0,-1,-1,0,1,-1,1,0,39.82519942999352,27.911042555992026,157,False,non-pareto
76,2,1,-1,0,0,-1,-1,0,-1,-1,-1,1,-1,40.11074996198295,28.654857421002816,150,False,non-pareto
77,5,-1,0,1,-1,-1,-1,-1,0,-1,0,1,0,41.77449759398587,25.208038767974358,210,False,non-pareto
78,5,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,0,41.858553960046265,27.982221783022396,211,False,non-pareto
79,6,-1,-1,0,0,0,-1,-1,0,0,-1,1,0,41.953514011984225,28.074967213033233,218,False,non-pareto
80,2,0,-1,0,0,-1,-1,-1,0,1,-1,1,1,40.94443106796825,28.502657128032297,149,False,non-pareto
81,1,1,-1,0,0,-1,-1,-1,0,1,0,1,-1,41.9042082009837,28.698197945021093,129,False,non-pareto
82,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,0,39.425667508970946,25.854493580001872,126,True,pareto
83,1,1,0,1,0,0,-1,-1,-1,-1,0,1,0,39.86751067900332,25.672487557982095,126,True,pareto
84,1,1,-1,0,-1,0,-1,-1,-1,0,0,1,-1,42.251493266026955,28.98900132102426,130,False,non-pareto
85,3,-1,-1,-1,1,-1,-1,-1,0,0,-1,1,0,38.339696199051104,25.174156000022776,157,True,pareto
86,4,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,41.05396719498094,25.370107017981354,199,False,non-pareto
87,0,0,-1,-1,0,-1,-1,0,0,0,0,1,-1,48.79176267096773,26.47907344804844,124,False,non-pareto
88,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,0,38.28690058301436,25.665377767989412,158,False,non-pareto
89,4,1,-1,0,-1,-1,-1,0,-1,0,-1,1,0,40.88243868795689,27.557821305992547,200,False,non-pareto
90,4,1,-1,-1,1,0,-1,-1,-1,1,-1,1,0,41.10924897500081,25.068183308991138,199,False,non-pareto
92,4,-1,-1,0,1,-1,-1,0,-1,0,0,1,0,41.48395324900048,28.146659781981725,200,False,non-pareto
93,-1,-1,0,-1,0,0,-1,0,0,1,0,1,0,38.68080719001591,25.7295375969843,160,False,non-pareto
95,2,-1,-1,0,1,-1,-1,-1,0,1,0,1,0,38.118934875994455,28.177434607001487,144,True,pareto
104,5,0,-1,0,1,-1,-1,-1,-1,-1,-1,1,0,43.31755261903163,28.10721210099291,211,False,non-pareto
110,0,0,0,-1,0,-1,-1,-1,0,0,-1,1,0,44.6712596550351,25.754250370024238,120,False,non-pareto
117,3,-1,0,1,1,-1,-1,-1,0,0,-1,1,0,38.71191306604305,25.189901655016,157,False,non-pareto
118,2,1,0,0,1,-1,-1,-1,-1,1,-1,1,0,37.956710761005525,28.385938292951323,144,True,pareto
120,5,0,0,1,0,0,-1,0,-1,0,-1,1,1,45.171192418958526,25.417663656000514,222,False,non-pareto
122,2,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,38.3714486079989,25.73487112298608,144,True,pareto
124,6,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,41.81482049799524,28.31004746601684,211,False,non-pareto
125,0,-1,0,1,1,0,-1,-1,0,1,0,1,0,42.63663457200164,25.967998642998282,119,True,pareto
126,6,1,0,0,1,-1,-1,-1,0,1,-1,1,0,41.29305809998186,27.652140691003297,210,False,non-pareto
129,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,1,42.03847048897296,28.814885611995123,130,False,non-pareto
130,2,0,0,-1,-1,0,-1,-1,0,0,0,-1,1,41.163830786943436,26.089111645997036,150,False,non-pareto
131,2,1,0,1,1,-1,-1,-1,-1,1,0,1,0,37.785156814032234,25.18084425199777,144,True,pareto
134,3,-1,-1,1,1,0,-1,-1,0,1,0,1,0,38.11504937201971,25.742517593025696,157,False,non-pareto
135,6,-1,-1,1,-1,0,-1,0,0,1,-1,1,1,43.67440196801908,25.599212919012643,221,False,non-pareto
137,3,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,39.44219054700807,25.273805294011254,161,False,non-pareto
138,3,-1,-1,-1,0,0,-1,0,-1,1,-1,1,0,38.435726368043106,24.99131212499924,160,True,pareto
139,2,0,0,0,0,0,-1,-1,0,-1,0,-1,0,39.05096818605671,28.42454992502462,146,False,non-pareto
140,3,-1,-1,0,0,0,-1,0,-1,0,-1,1,0,38.4302293509827,27.970075715973508,161,False,non-pareto
141,2,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,39.06186776596587,28.210170362028293,144,True,pareto
142,3,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,38.739524517033715,25.224089848052245,161,False,non-pareto
144,-1,-1,0,0,1,0,-1,-1,0,0,0,1,0,38.52872377401218,28.40443418198265,158,False,non-pareto
146,6,1,-1,1,1,0,-1,0,-1,0,0,-1,0,42.11522623198107,25.295142048969865,210,False,non-pareto
147,3,1,3,1,-1,0,-1,0,0,-1,0,-1,0,105.31166159501299,4.545337131014094,219,False,non-pareto
148,2,-1,2,0,-1,0,-1,-1,0,-1,0,-1,1,111.59653519897256,4.535477714031003,221,False,non-pareto
149,-1,1,1,0,1,-1,-1,-1,0,0,-1,-1,0,81.73298920900561,12.759460270986892,170,False,non-pareto
150,-1,-1,-1,0,1,0,-1,-1,0,-1,0,-1,0,39.05268891598098,28.254938925034367,158,False,non-pareto
151,0,1,0,0,0,0,-1,0,0,1,0,-1,0,43.0126290449989,28.7332170070149,120,False,non-pareto
152,1,-1,0,1,1,-1,-1,0,-1,1,0,-1,0,39.86388379102573,26.105375361978076,125,True,pareto
153,-1,0,0,1,1,0,-1,-1,-1,0,-1,-1,0,39.44281380000757,25.312316239986103,158,False,non-pareto
154,1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,0,78.17535506200511,12.987064554996323,129,False,non-pareto
155,6,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,0,41.48257830698276,25.14435458596563,210,False,non-pareto
157,1,-1,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,82.48156207602005,13.202877899981104,132,False,non-pareto
158,-1,0,5,1,1,-1,-1,-1,0,0,0,-1,0,67.49801945599029,4.347559233021457,138,True,pareto
159,-1,0,-1,1,0,0,-1,0,-1,-1,0,-1,0,39.697024665016215,25.732506742002442,161,False,non-pareto
160,-1,-1,1,0,0,0,-1,0,-1,-1,0,-1,0,81.12672728596954,12.924877033976372,170,False,non-pareto
161,0,-1,5,-1,-1,0,-1,-1,0,-1,0,-1,1,75.00500080705388,4.341556138009764,104,True,pareto
162,-1,-1,5,1,1,-1,-1,-1,-1,0,-1,-1,0,68.3504781340016,4.458010367001407,139,False,non-pareto
163,-1,0,3,1,-1,0,-1,0,-1,0,0,-1,1,118.3714116489864,4.429420855012722,236,False,non-pareto
164,3,1,1,1,0,0,1,0,-1,-1,0,1,0,62.11304615996778,12.329356031026691,166,False,non-pareto
165,-1,0,-1,1,1,0,-1,0,-1,0,0,-1,0,39.55987202201504,25.71325375098968,158,False,non-pareto
166,6,0,-1,1,1,0,-1,-1,0,1,-1,-1,0,43.1056866729632,25.014395601989236,210,False,non-pareto
167,-1,0,-1,1,1,0,-1,0,-1,1,0,-1,0,40.03621136798756,26.8733080989914,157,False,non-pareto
168,3,1,0,0,1,0,-1,-1,-1,1,0,-1,0,38.99974174698582,27.78193995897891,157,False,non-pareto
